ACC ,Duplicate Of,Authors,Year,Title,"Journal, volume, pages",Source,Initial Possibly Relevant,Possibly Relevant,Provides.info.on.coral.responses.bleaching.cover.OR.mortality,Compares coral responses during or post El Nino_general,Compares coral responses w El Nino,Include?,Cant.Access,No N or SD?,NoNorSD,Other reason for not including,Not.El.Nino,NotPrimaryLit,Review.MetaAnalysis,Data.elsewhere,Cover.no.before,No.extractable.data,JMI_checking,Cover,Cover.Extracted,Bleaching,Bleaching.Wbefore,Bleaching.AfterOnly,Qualitative,Units are Density,Recovery (2+ years),,Comments
1,N,Jorge et al.,2014,Modelling the effects of climate change on a Caribbean coral reef food web,"Eco. Model. 289, 1-14",Web of Science,N,N,N,N,N,N,N,,N,Modelling climate change,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
2,N,Yara et al.,2014,Projected coral bleaching in response to future sea surface temperature rises and the uncertainties among climate models,"Hydrobiologia. 733, 1, 19-29",Web of Science,Y,N,N,N,N,N,N,,N,Modelling paper,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
3,N,Lough et al.,2014,Evidence for suppressed mid-Holocene northeastern Australian monsoon variability from coral luminescence,"Paleoceanography. 29, 6, 581-594",Web of Science,N,N,N,N,N,N,N,,N,Fossil corals,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
4,N,Smith et al.,2014,A depth refugium from catastrophic coral bleaching prevents regional extinction,"Ecology. 95, 6, 1663-1673",Web of Science,Y,Y,Y,Y,Y,Y,N,,N,Y,,N,N,N,N,N,,Y,Y,N,N,N,,,,,82/83 data included but 97/98 data not included becaue coral was already dead
5,N,Roff et al.,2014,"Porites and the Phoenix effect: unprecedented recovery after a mass coral bleaching event at Rangiroa Atoll, French Polynesia","Mar Biol. 161, 6, 1385-1393",Web of Science,Y,Y,Y,Y,Y,N,N,,N,"No, only has data during the 1998 and recover during 2013 (% cover), which we aren't taking without before data",,N,N,N,Y,N,,Y,N,N,N,N,,,Y,,
6,N,Mangubhai et al. ,2014,Short-term changes of fish assemblages observed in the near-pristine reefs of the Phoenix Islands,"Rev. Fish Biol. Fish. 24, 2, 505-518",Web of Science,Y,Y,N,N,N,N,N,,N,Data already included in 53,,N,N,Y,N,N,,NA,NA,NA,NA,NA,,,,,
7,N,Kelmo et al. ,2014,Differential Responses of Emergent Intertidal Coral Reef Fauna to a Large-Scale El-Nino Southern Oscillation Event: Sponge and Coral Resilience,"Plos One. 9, 3, e93209",Web of Science,Y,Y,Y,Y,Y,N,N,,N,Data already included in 25,,N,N,Y,N,N,,N,N,Y,Y,N,,,,,
8,N,Ionita et al.,2014,Distinct modes of East Asian Winter Monsoon documented by a southern Red Sea coral record,"Journal of Geophysical Research-Oceans. 119, 3, 1517-1533",Web of Science,Y,N,N,N,N,N,N,,N,Fossil corals,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
9,N,Nava et al.,2014,Habitat characteristics and environmental factors related to boring sponge assemblages on coral reefs near populated coastal areas on the Mexican Eastern Pacific coast,"Marine Biodiversity. 44, 1, 45-54",Web of Science,Y,N,N,N,N,N,N,,N,"Sponges, and no comparison",,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
10,N,Glynn et al.,2014,Eastern Pacific reef fish responses to coral recovery following El Nino disturbances,"Mar. Ecol. Prog. Ser. 495, 233",Web of Science,Y,Y,Y,Y,Y,Y,N,,N,,,N,N,N,N,N,,Y,Y,N,N,N,,,,,Found online
11,N,Rodriguez-Troncoso et al.,2014,The effects of an abnormal decrease in temperature on the Eastern Pacific reef-building coral Pocillopora verrucosa,"Mar. Biol. 161, 1, 131-139",Web of Science,Y,N,N,N,N,N,N,,N,Lab test of abnormally cold water,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
12,N,van Hooidonk et al. ,2014,Opposite latitudinal gradients in projected ocean acidification and bleaching impacts on coral reefs,"Global Change Biol. 20, 1, 103-112",Web of Science,Y,Y,Y,N,N,N,N,,N,Latitudinal gradients,Y,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
13,N,Logan et al.,2014,Incorporating adaptive responses into future projections of coral bleaching,"Global Change Biol. 20, 1, 125-139",Web of Science,Y,N,N,N,N,N,N,,N,Modelling paper,,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
14,N,Halfar and Riegl,2013,From coral framework to rhodolith bed: sedimentary footprint of the 1982/1983 ENSO in the Galapagos,"Coral Reefs. 32, 4, 985-985",Web of Science,Y,Y,N,N,N,N,N,,N,"Very short manuscript, Doesn't provide necessary data",,N,N,N,N,Y,,NA,NA,NA,NA,NA,,,,,
15,N,Bayraktorov et al.,2013,Bleaching Susceptibility and Recovery of Colombian Caribbean Corals in Response to Water Current Exposure and Seasonal Upwelling,"Plos One. 8, 11, e80536",Web of Science,Y,Y,Y,Y,N,N,N,,N,"In ""No before"" dataset",,N,N,N,N,N,,N,N,Y,N,Y,,,,,
16,N,Chollett and Mumby,2013,Reefs of last resort: Locating and assessing thermal refugia in the wider Caribbean,"Biol. Conserv. 167, 179-186",Web of Science,Y,N,N,N,N,N ,N,,N,"Refugia theory, not coral cover comparisons",,N,N,N,N,N,,NA,NA,NA,NA,NA,,,,,
