"","ACC","Author","Year","Page.number","Parameter","Hard.Soft.Coral","Order","Hard.Soft.Coral.Order","Family","fam.comm","Genus","Species","Method","Lab.field","Time.series","Month","Month.During.After","Year.During.After","Day.Sampled","Month.Sampled","Year.Sampled","Date.Sampled","Date.Sampled.Type","El.Nino","El.Nino.simple","La.Nina.simple","Measured.Duringto6mo","Measured.After.6months.2years","Depth","Latitude","Longitude","Lat.dec","Lat.abs","Long.dec","Ocean","Region","Ocean.Region","Ocean.Region.simple","Location","Source","Graphclick","Units.original","Bleaching.Level","Mean_Bleaching_Before","SE_Bleaching_Before","SD_Bleaching_Before","Mean_Bleaching_Resp","SE_Bleaching_Resp","SD_Bleaching_Resp","N_During.After","Comments","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",15,"Bayraktorov et al.",2013,"1","Bleaching","Hard","Scleractinia",NA,"community","comm",NA,NA,"Line transect","Field","N","December","December",2010,15,"Dec",2010,"15-Dec-10","estimated","2010",2010,NA,"Y","","10","11.33 N","74.11 W",11.33,11.33,-74.11,"Atlantic","Caribbean","Atlantic.Caribbean","Atlantic.Western","Gayraca Bay","Figure 2","Y","% bleached","Total",NA,NA,NA,8.268,5.699,18.022,10,"",2.8398,5.6481,53,5.6481,53,NA,27.19,1.7283,1.3146,28.599,10
"2",15,"Bayraktorov et al.",2013,"2","Bleaching","Hard","Scleractinia",NA,"community","comm",NA,NA,"Line transect","Field","N","December","December",2010,15,"Dec",2010,"15-Dec-10","estimated","2010",2010,NA,"Y","","10","11.33 N","74.11 W",11.33,11.33,-74.11,"Atlantic","Caribbean","Atlantic.Caribbean","Atlantic.Western","Gayraca Bay","Figure 2","Y","% bleached","Total",NA,NA,NA,34.344,10.837,34.27,10,"",2.8398,5.6481,53,5.6481,53,NA,27.19,1.7283,1.3146,28.599,10
"3",15,"Bayraktorov et al.",2013,"3","Bleaching","Hard","Scleractinia",NA,"community","comm",NA,NA,"Line transect","Field","N","March","March",2011,15,"Mar",2011,"15-Mar-11","estimated","2010",2010,NA,"Y","","10","11.33 N","74.11 W",11.33,11.33,-74.11,"Atlantic","Caribbean","Atlantic.Caribbean","Atlantic.Western","Gayraca Bay","Figure 2","Y","% bleached","Total",NA,NA,NA,0,0,0,10,"",0,5.6481,143,5.6481,143,NA,27.19,1.7283,1.3146,28.599,10
"4",15,"Bayraktorov et al.",2013,"4","Bleaching","Hard","Scleractinia",NA,"community","comm",NA,NA,"Line transect","Field","N","March","March",2011,15,"Mar",2011,"15-Mar-11","estimated","2010",2010,NA,"Y","","10","11.33 N","74.11 W",11.33,11.33,-74.11,"Atlantic","Caribbean","Atlantic.Caribbean","Atlantic.Western","Gayraca Bay","Figure 2","Y","% bleached","Total",NA,NA,NA,0,0,0,10,"",0,5.6481,143,5.6481,143,NA,27.19,1.7283,1.3146,28.599,10
"5",23,"Penin et al.",2013,"19","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","6","17.5 S","149.83 W",-17.57,17.57,-149.87,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Haapiti","Figure 2","Y","% bleached","Total",NA,NA,NA,100,5.16,5.16,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
"6",23,"Penin et al.",2013,"20","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","12","17.5 S","149.83 W",-17.57,17.57,-149.87,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Haapiti","Figure 2","Y","% bleached","Total",NA,NA,NA,96.117,8.736,8.736,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
"7",23,"Penin et al.",2013,"21","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","18","17.5 S","149.83 W",-17.57,17.57,-149.87,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Haapiti","Figure 2","Y","% bleached","Total",NA,NA,NA,98.998,2.994,2.994,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
"8",23,"Penin et al.",2013,"22","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","6","17.5 S","149.83 W",-17.49,17.49,-149.9,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Tiahura","Figure 2","Y","% bleached","Total",NA,NA,NA,59.263,0,0,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
"9",23,"Penin et al.",2013,"23","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","12","17.5 S","149.83 W",-17.49,17.49,-149.9,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Tiahura","Figure 2","Y","% bleached","Total",NA,NA,NA,98.058,7.894,7.894,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
"10",23,"Penin et al.",2013,"24","Bleaching","Hard","Scleractinia",NA,"Acroporidae","family","Acropora",NA,"Belt transect","Field","N","April","March",2003,15,"Mar",2003,"15-Mar-03","estimated","03-Feb",2003,NA,"Y","","18","17.5 S","149.83 W",-17.49,17.49,-149.9,"Pacific","South","Pacific.South","Pacific.Southern","French Polynesia-Tiahura","Figure 2","Y","% bleached","Total",NA,NA,NA,98.227,4.378,4.378,1,"",0.46666,2.0167,-16,0.46666,3,NA,27.5,1.1077,1.0525,28.724,3
